YEAR,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1928,334.98999999999995,,200.75000000000003,481.7700000000002,69.22,206.97999999999996,634.9500000000002,256.02000000000004,535.6300000000001,119.57999999999998,159.73,,19.590000000000003,98.23999999999997,263.6700000000001,28.629999999999995,136.92000000000007,216.26,260.33,401.96,1089.3899999999992,981.0599999999996,547.5499999999998,79.13000000000001,0.0,198.6300000000001,139.85999999999999,78.95,,272.15000000000003,797.1400000000001,663.4100000000003,649.9699999999998,1823.69,55.73,355.92,268.70999999999964,223.08999999999995,583.9500000000002,735.3200000000002,1138.49,160.16000000000003,315.43,97.35000000000002,16.82999999999999,334.7999999999998,,344.82,195.98000000000002,124.61000000000003,227.0
1929,111.93000000000004,,54.87999999999996,67.21999999999996,72.8,74.24,614.82,239.81999999999988,94.19999999999993,78.00999999999996,40.63,,160.37,506.1800000000002,322.0999999999998,82.94999999999999,555.4399999999999,43.17,88.78999999999999,719.1699999999997,126.04000000000005,351.4200000000001,376.45999999999987,492.36000000000007,,183.46000000000015,817.7600000000001,303.0299999999999,,344.5299999999998,181.85999999999993,54.780000000000015,249.08999999999997,38.49000000000002,339.19,561.14,46.190000000000005,492.32000000000005,489.5599999999998,270.62,12.200000000000003,167.76999999999992,33.03999999999999,71.27999999999997,68.89999999999999,105.31000000000003,,248.60000000000002,380.14,1016.54,312.15999999999985
1930,157.00000000000006,,466.30999999999983,53.43999999999998,760.2399999999997,1132.7600000000007,112.22999999999999,109.25000000000007,182.10000000000002,356.58999999999975,153.20999999999995,,196.65999999999988,216.06999999999996,120.73000000000003,395.59000000000003,666.7099999999998,70.14999999999999,86.28999999999996,198.88,73.89,630.29,583.6200000000001,218.99000000000012,,149.81000000000003,117.52000000000001,745.32,,126.38000000000004,602.8700000000001,529.2299999999999,315.3899999999999,41.17,117.00000000000001,277.6000000000001,164.92999999999995,276.3599999999999,356.56,39.22999999999999,14.450000000000001,346.3100000000002,179.91000000000008,73.12,1044.7900000000009,236.69000000000003,,631.64,157.70000000000002,748.5800000000002,341.54999999999995
1931,337.29000000000013,,497.6900000000003,45.910000000000004,477.4800000000002,453.26999999999975,790.4599999999996,1003.2799999999999,832.9900000000005,260.79,104.38999999999993,,25.969999999999995,516.9700000000003,541.2099999999997,34.24999999999998,93.46999999999994,181.04000000000005,11.470000000000002,434.35,1264.8499999999995,386.78,133.47999999999996,123.53000000000002,,369.76999999999987,284.84999999999997,24.91,,299.1499999999999,494.1899999999997,324.5700000000001,423.22,480.4800000000001,142.06,291.3200000000001,32.169999999999995,242.56000000000003,821.6000000000003,665.0499999999998,189.95,212.3599999999999,134.79000000000005,39.56,29.720000000000002,318.4,,197.42999999999992,291.38,506.57000000000005,60.689999999999976
1932,10.20999999999999,,20.110000000000003,5.329999999999997,214.07999999999998,222.89999999999992,348.27000000000027,15.980000000000004,53.13999999999998,13.63000000000001,34.360000000000014,,8.760000000000002,208.31000000000003,88.78,6.320000000000003,326.6400000000001,72.99000000000004,67.43999999999998,1086.2799999999993,65.17000000000002,463.19,881.09,95.10999999999999,,43.15999999999999,1007.9700000000001,31.60999999999999,,151.26,373.96000000000004,271.9000000000001,465.05999999999995,423.03999999999996,318.07000000000005,539.34,43.169999999999995,514.2,470.6900000000001,1472.6900000000007,182.57999999999998,96.37000000000008,68.9900000000001,76.58,13.909999999999998,1146.08,53.4,631.9300000000002,599.6500000000001,935.3100000000001,242.10000000000008
1933,65.21999999999998,,296.0100000000002,293.31999999999994,445.2800000000002,27.690000000000005,330.6600000000002,82.68000000000004,100.79999999999995,63.930000000000014,156.88,,193.59000000000006,155.64999999999998,108.02000000000004,33.00999999999999,335.07999999999987,57.859999999999985,42.769999999999996,13.389999999999993,41.18,351.86000000000007,462.1399999999998,752.33,,152.96000000000012,419.5700000000001,117.35000000000001,,218.48000000000002,726.94,148.80000000000004,549.0,495.5900000000001,373.6400000000001,233.67000000000004,101.87,230.36999999999998,336.3800000000001,9.360000000000003,360.6400000000001,299.08,133.48,361.3999999999999,402.09999999999997,312.58000000000004,351.88000000000005,155.83999999999995,303.34000000000003,317.4799999999999,249.06000000000003
1934,590.27,,238.8099999999999,384.57,423.2599999999999,1204.2500000000002,282.34999999999997,1225.2000000000005,1137.4900000000005,505.65,774.7800000000002,,252.43000000000004,574.84,631.0300000000001,346.39,538.84,422.55,220.96000000000006,78.02,1575.9099999999999,1039.49,132.48000000000002,313.59999999999997,,539.4799999999998,355.9200000000001,331.03,,846.7,359.92,731.9000000000003,258.13,1685.3399999999995,657.6300000000001,410.4999999999999,378.08000000000027,193.5,848.1100000000004,65.78999999999999,637.6099999999997,1373.9400000000005,647.85,490.6600000000001,2184.8700000000017,380.65999999999974,1158.76,473.8400000000002,231.80000000000007,1332.8400000000001,967.4399999999997
1935,265.3400000000002,,135.01999999999995,80.32999999999998,466.38000000000005,1186.0699999999995,1449.4899999999996,412.70000000000005,152.73000000000002,72.77000000000005,1.05,,182.32999999999998,746.8099999999996,299.12,865.6500000000002,1399.01,533.7700000000001,117.22,857.7600000000001,133.17000000000002,286.73,1600.8799999999999,1062.0000000000002,,345.1900000000001,1422.5700000000008,639.7000000000004,,55.13000000000002,792.9099999999997,147.97000000000003,516.4300000000001,323.86999999999983,290.44999999999993,544.79,102.91000000000001,705.4300000000001,917.3599999999999,994.0499999999998,46.26000000000003,167.25000000000003,51.309999999999995,64.06999999999998,50.16,389.3000000000002,727.3500000000001,525.47,605.9,1415.3799999999992,935.4200000000004
1936,20.779999999999994,,525.5,5.66,773.5399999999998,54.74,228.97,555.9599999999998,335.5900000000001,18.22,0.27,,262.6199999999999,15.430000000000001,21.150000000000006,8.000000000000004,23.17,79.66000000000001,57.670000000000016,891.8900000000002,405.28000000000003,613.81,47.72000000000002,283.0300000000001,,17.37,81.57000000000005,86.34000000000002,,185.39000000000001,215.06,234.9399999999999,477.4799999999998,40.30000000000002,16.520000000000007,136.53000000000003,15.219999999999995,919.1500000000002,243.53000000000003,368.6899999999998,48.240000000000016,33.59999999999999,50.179999999999986,125.57999999999998,117.88999999999997,2974.790000000002,127.82999999999996,463.74000000000007,63.26,126.57000000000002,57.52000000000001
1937,22.459999999999987,,837.3000000000002,16.980000000000004,78.25999999999999,93.00000000000001,606.7599999999994,707.0999999999997,333.2700000000003,23.080000000000002,,,243.1499999999999,146.95000000000002,210.12000000000006,10.759999999999993,42.11,245.75000000000006,20.709999999999987,134.35,698.1699999999996,478.32000000000005,115.59000000000002,25.11999999999999,0.0,186.45,111.71000000000004,34.45999999999999,,393.1299999999999,1108.94,487.2699999999998,202.81000000000003,226.07,8.4,366.37,45.62000000000001,38.190000000000005,390.89,679.2199999999999,99.17999999999998,9.840000000000003,106.41000000000004,235.14,396.78999999999985,289.31,337.39000000000004,103.34000000000003,110.03999999999996,66.54999999999998,69.90999999999997
