"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","QC"," 45°28'00.000"" N"," 73°45'00.000"" W","36.0 m","7025250","71627","YUL"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-9.7","-7.7","-2.0","6.4","13.4","18.6","21.2","20.1","15.5","8.5","2.1","-5.4","6.8","A"
"Standard Deviation","3.3","2.7","2.1","1.6","1.6","1.3","1.0","1.2","1.5","1.4","1.6","3.0","0.9","A"
"Daily Maximum (°C)","-5.3","-3.2","2.5","11.6","18.9","23.9","26.3","25.3","20.6","13.0","5.9","-1.4","11.5","A"
"Daily Minimum (°C)","-14.0","-12.2","-6.5","1.2","7.9","13.2","16.1","14.8","10.3","3.9","-1.7","-9.3","2.0","A"
"Extreme Maximum (°C)","13.9","15.0","25.6","30.0","34.7","35.0","35.6","37.6","33.5","28.3","21.7","18.0","",""
"Date (yyyy/dd)","1950/25","1981/22","1945/28","1990/27","2010/26","1964/30","1953/17","1975/01","1999/04","1968/02","1948/06","2001/06",""," "
"Extreme Minimum (°C)","-37.8","-33.9","-29.4","-15.0","-4.4","0.0","6.1","3.3","-2.2","-7.2","-19.4","-32.4","",""
"Date (yyyy/dd)","1957/15","1943/15","1950/04","1954/04","1974/02","1995/05","1982/03","1957/28","1951/30","1972/20","1949/27","1980/25",""," "
"Precipitation"
"Rainfall (mm)","27.3","20.9","29.7","67.7","81.2","87.0","89.3","94.1","83.1","89.1","76.7","38.8","784.9","A"
"Snowfall (cm)","49.5","41.2","36.2","12.9","0.0","0.0","0.0","0.0","0.0","1.8","19.0","48.9","209.5","A"
"Precipitation (mm)","77.2","62.7","69.1","82.2","81.2","87.0","89.3","94.1","83.1","91.3","96.4","86.8","1000.3","A"
"Average Snow Depth (cm)","11","13","9","1","0","0","0","0","0","0","1","7","4","A"
"Median Snow Depth (cm)","11","13","8","0","0","0","0","0","0","0","0","7","3","A"
"Snow Depth at Month-end (cm)","13","11","3","0","0","0","0","0","0","0","2","10","3","A"
"Extreme Daily Rainfall (mm)","46.6","31.5","32.4","48.2","45.6","66.5","63.6","73.8","81.9","80.5","93.5","51.2","",""
"Date (yyyy/dd)","2006/18","1961/25","1998/09","2006/23","2006/19","1997/21","2005/05","2005/31","1979/14","1995/06","1996/08","2003/11",""," "
"Extreme Daily Snowfall (cm)","35.8","39.4","43.2","33.9","21.8","0.0","0.0","0.0","6.1","21.2","30.5","41.2","",""
"Date (yyyy/dd)","1999/15","1954/16","1971/04","2000/09","1963/10","1942/01","1942/01","1942/01","1946/30","1988/22","1944/30","2005/16",""," "
"Extreme Daily Precipitation (mm)","47.0","43.4","42.8","48.2","45.6","66.5","63.6","73.8","81.9","80.5","93.5","51.4","",""
