city,number,lat,lon
Hamburg,20956,53.55,10.00
Dresden,17578,51.05,13.74
Leipzig,17561,51.34,12.38
Potsdam,15327,52.40,13.06
MŸnchen,12896,48.14,11.58
Halle (Saale),10612,51.48,11.97
Rostock,10091,54.09,12.13
Frankfurt (Oder),9770,52.34,14.55
Magdeburg,9677,52.13,11.64
Hannover,9372,52.37,9.74
Frankfurt am Main,8511,50.11,8.68
Stuttgart,8117,48.78,9.18
Bremen,7957,53.08,8.81
Kšln,7837,50.94,6.96
Kšnigs Wusterhausen,7757,52.30,13.62
Chemnitz,7710,50.83,12.93
RŸdersdorf bei Berlin,7330,52.47,13.78
Cottbus,6817,36.65,-91.85
Bernau bei Berlin,6742,39.78,-100.45
DŸsseldorf,6464,51.23,6.78
Bonn,6411,50.74,7.10
Brandenburg an der Havel,6323,52.41,12.55
Moskau,5828,55.75,37.62
Erfurt,5592,50.98,11.03
Neubrandenburg,5219,53.56,13.26
Greifswald,5189,54.10,13.38
Eberswalde,5080,52.84,13.80
Teheran,5042,35.69,51.42
Essen,4963,51.46,7.01
Neuruppin,4947,52.92,12.81
Strausberg,4933,52.58,13.88
Beirut,4846,33.90,35.48
Schwerin,4805,53.63,11.41
Breslau,4753,51.11,17.03
Braunschweig,4738,52.26,10.53
Schwedt/Oder,4725,53.06,14.28
Hennigsdorf,4651,52.64,13.19
Kiel,4498,54.32,10.14
Oranienburg,4464,52.75,13.25
Stralsund,4461,54.32,13.09
Prenzlau,4446,53.32,13.87
Istanbul,4445,41.01,28.97
Stettin,4406,53.43,14.55
Freiburg im Breisgau,4371,48.00,7.85
Damaskus,4332,33.51,36.31
Gšrlitz,4294,51.15,14.98
Gšttingen,4130,51.53,9.94
Heidelberg,4094,49.41,8.69
MŸnster (Westfalen),4033,51.95,7.61
Jena,4017,50.93,11.58
Kassel,3975,51.31,9.48
Dortmund,3959,51.51,7.47
Luckenwalde,3797,52.09,13.16
Bielefeld,3785,52.01,8.54
Karlsruhe,3625,49.01,8.40
NŸrnberg,3622,49.45,11.08
Hanoi,3599,21.03,105.85
Bad Saarow,3504,52.29,14.06
Dessau,3493,51.83,12.24
Gera,3482,50.88,12.08
LŸbeck,3400,53.87,10.68
EisenhŸttenstadt,3392,52.14,14.63
Lutherstadt Wittenberg,3344,51.87,12.65
Duisburg,3260,51.43,6.76
Sankt Petersburg,3084,59.94,30.32
Danzig,3029,54.35,18.65
Rathenow,3010,52.60,12.33
Templin,3002,53.12,13.50
Wien,2995,48.21,16.37
Wuppertal,2980,51.26,7.18
Neustrelitz,2938,53.36,13.06
Wiesbaden,2917,50.08,8.25
Hoyerswerda,2909,51.43,14.25
Wriezen,2906,52.72,14.13
Oldenburg,2893,53.14,8.21
Weimar,2880,50.98,11.33
Sofia,2869,42.70,23.32
Aachen,2849,50.78,6.08
Paris,2841,48.86,2.35
Varna,2668,43.22,27.90
Pasewalk,2666,53.51,13.99
Nauen,2635,52.61,12.88
Stendal,2621,52.61,11.86
Ankara,2610,39.92,32.85
Bautzen,2606,51.18,14.43
Bochum,2562,51.48,7.22
WŸrzburg,2547,49.79,9.93
Zossen,2541,52.22,13.45
Mannheim,2524,49.49,8.47
Bukarest,2501,44.44,26.10
Warschau,2491,52.23,21.01
Kšnigsberg (Preu§en),2490,39.78,-100.45
London,2482,51.51,-0.13
Mainz,2448,50.00,8.27
Riga,2415,56.95,24.11
Szczecin,2395,53.43,14.55
Madrid,2379,40.42,-3.70
Wismar,2365,53.89,11.46
Hinis,2317,39.36,41.64
Anklam,2309,53.86,13.69
Hildesheim,2275,52.15,9.95
Ludwigsfelde,2209,52.30,13.26
GŸstrow,2208,53.79,12.18
Altdšbern,2203,51.65,14.03
Kiew,2190,50.45,30.52
Bitterfeld-Wolfen,2176,51.64,12.31
Seoul,2153,37.57,126.98
TŸbingen,2131,48.52,9.05
Budapest,2102,47.50,19.04
Guben,2091,51.95,14.72
Gelsenkirchen,2083,51.51,7.10
Perleberg,2057,53.08,11.86
Marburg,2040,50.81,8.78
Zehdenick,2029,52.98,13.33
Forst (Lausitz),2025,51.74,14.65
Waren (MŸritz),2025,53.52,12.69
Celle,2023,52.62,10.08
Zittau,2023,50.90,14.81
Demmin,1984,53.91,13.03
New York,1980,40.73,-73.99
SaarbrŸcken,1965,49.23,7.00
Poznan,1964,52.41,16.93
UeckermŸnde,1952,53.74,14.05
Darmstadt,1942,49.87,8.65
Bromberg,1940,53.13,18.01
Odessa,1926,46.48,30.73
Kyritz,1923,52.94,12.40
OsnabrŸck,1916,52.27,8.05
Flensburg,1913,54.78,9.43
Wolgast,1910,54.05,13.78
Freiberg,1903,50.92,13.34
Plauen,1899,50.50,12.13
Lauchhammer,1878,51.50,13.76
Augsburg,1870,48.37,10.90
Rom,1855,41.89,12.48
Mei§en,1835,51.16,13.47
Gie§en,1821,50.58,8.67
Finsterwalde,1810,51.63,13.71
LŸbben (Spreewald),1801,51.94,13.90
Halberstadt,1792,51.89,11.06
Landsberg an der Warthe,1791,52.73,15.24
Athen,1764,37.98,23.73
Lodz,1757,51.77,19.46
Bremerhaven,1737,53.55,8.59
Oppeln/Oberschlesien,1737,39.78,-100.45
Pritzwalk,1727,53.15,12.18
Merseburg,1721,51.36,12.00
Bergen auf RŸgen,1707,54.42,13.43
Burg (bei Magdeburg),1697,52.27,11.86
Belzig,1678,52.14,12.59
Kšthen (Anhalt),1665,51.75,11.97
Altenburg,1661,50.99,12.43
Izmir,1655,38.42,27.14
LŸneburg,1645,53.25,10.41
Hagen,1644,51.36,7.47
Aleppo,1641,36.20,37.17
Bozova,1636,37.29,38.39
Riesa,1628,51.30,13.29
Eisenach,1617,50.98,10.32
Barcelona,1614,41.38,2.18
Bijeljina,1593,44.76,19.22
Tripoli,1593,32.90,13.18
Bagdad,1567,33.30,44.38
Wroclaw,1555,51.11,17.03
Paderborn,1551,51.72,8.76
Herzberg (Elster),1539,51.69,13.24
Bernburg (Saale),1535,51.79,11.74
Samsun,1535,41.29,36.33
Posen,1531,52.41,16.93
Quedlinburg,1527,51.79,11.15
Wilhelmshaven,1518,53.53,8.11
Ulm,1509,48.40,9.99
Wernigerode,1506,51.83,10.79
Gotha,1503,50.95,10.69
Wolfsburg,1488,52.42,10.79
Nordhausen,1482,51.50,10.79
Erlangen,1458,49.60,11.00
Oberhausen,1458,51.51,6.85
Trier,1455,49.76,6.64
Aschersleben,1454,51.76,11.46
Gaziantep,1448,37.06,37.38
Salzwedel,1447,52.85,11.15
Altlandsberg,1414,52.56,13.72
Suhl,1414,50.61,10.69
Kabul,1393,34.52,69.16
Spremberg,1393,51.57,14.38
