"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*VANCOUVER INT'L A","BC"," 49°11'42.000"" N","123°10'55.000"" W","4.3 m","1108447","","YVR"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.1","4.9","6.9","9.4","12.8","15.7","18.0","18.0","14.9","10.3","6.3","3.6","10.4","A"
"Standard Deviation","1.7","1.5","1.1","0.9","0.9","0.9","1.0","0.7","0.9","0.8","1.7","1.6","0.6","A"
"Daily Maximum (°C)","6.9","8.2","10.3","13.2","16.7","19.6","22.2","22.2","18.9","13.5","9.2","6.3","13.9","A"
"Daily Minimum (°C)","1.4","1.6","3.4","5.6","8.8","11.7","13.7","13.8","10.8","7.0","3.5","0.8","6.8","A"
"Extreme Maximum (°C)","15.3","18.4","19.4","25.0","30.4","30.6","34.4","33.3","29.3","23.7","18.4","14.9","",""
"Date (yyyy/dd)","1981/20","1986/27","1960/25","1987/27","1983/29","1970/02","2009/30","1960/09","1988/03","1991/11","1980/04","1980/26",""," "
"Extreme Minimum (°C)","-17.8","-16.1","-9.4","-3.3","0.6","3.9","6.7","6.1","0.0","-5.9","-14.3","-17.8","",""
"Date (yyyy/dd)","1950/14","1950/01","1951/10","1951/19","1954/01","1976/01","1949/02","1937/28","1950/29","1984/31","1985/27","1968/29",""," "
"Precipitation"
"Rainfall (mm)","157.5","98.9","111.8","88.1","65.0","53.8","35.6","36.7","50.9","120.7","185.8","148.3","1152.8","A"
"Snowfall (cm)","11.1","6.3","2.3","0.3","0.0","0.0","0.0","0.0","0.0","0.1","3.2","14.8","38.1","A"
"Precipitation (mm)","168.4","104.6","113.9","88.5","65.0","53.8","35.6","36.7","50.9","120.8","188.9","161.9","1189.0","A"
"Average Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","1","0","A"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","A"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","1","3","0","A"
